LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2023-08-08 21:52:28,1900-01-00 00:00:00,FTTH-585B,A8:E2:07:5F:58:5B,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-08 21:52:28,1900-01-00 00:00:00,FTTH-585B,A8:E2:07:5F:58:5B,-61, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-08 21:52:28,1900-01-00 00:00:00,FTTH-585B,A8:E2:07:5F:58:5B,-60, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-08 21:52:29,1900-01-00 00:00:00,FTTH-585B,A8:E2:07:5F:58:5B,-61, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-08 21:52:29,1900-01-00 00:00:00,FTTH-585B,A8:E2:07:5F:58:5B,-62, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-08 21:52:29,1900-01-00 00:00:00,FTTH-585B,A8:E2:07:5F:58:5B,-62, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-08 21:52:29,1900-01-00 00:00:00,FTTH-585B,A8:E2:07:5F:58:5B,-62, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-08 21:52:29,1900-01-00 00:00:00,FTTH-585B,A8:E2:07:5F:58:5B,-61, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-08 21:52:29,1900-01-00 00:00:00,FTTH-585B,A8:E2:07:5F:58:5B,-61, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-08 21:52:29,1900-01-00 00:00:00,FTTH-585B,A8:E2:07:5F:58:5B,-61, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-08 21:52:29,1900-01-00 00:00:00,FTTH-585B,A8:E2:07:5F:58:5B,-63, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-08 21:52:30,1900-01-00 00:00:00,FTTH-585B,A8:E2:07:5F:58:5B,-64, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-08 21:52:30,1900-01-00 00:00:00,FTTH-585B,A8:E2:07:5F:58:5B,-62, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-08 21:52:30,1900-01-00 00:00:00,,96:3F:9D:F6:36:18,-82,,0.000000,0.000000,0.000,0.000,Client
2023-08-08 21:52:30,1900-01-00 00:00:00,FTTH-585B,A8:E2:07:5F:58:5B,-62, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-08 21:52:30,1900-01-00 00:00:00,FTTH-585B,A8:E2:07:5F:58:5B,-61, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-08 21:52:30,1900-01-00 00:00:00,FTTH-585B,A8:E2:07:5F:58:5B,-62, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-08 21:52:30,1900-01-00 00:00:00,FTTH-585B,A8:E2:07:5F:58:5B,-61, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-08 21:52:30,1900-01-00 00:00:00,FTTH-585B,A8:E2:07:5F:58:5B,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-08 21:52:30,1900-01-00 00:00:00,FTTH-585B,A8:E2:07:5F:58:5B,-60, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-08 21:52:30,1900-01-00 00:00:00,FTTH-585B,A8:E2:07:5F:58:5B,-61, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-08 21:52:30,1900-01-00 00:00:00,FTTH-585B,A8:E2:07:5F:58:5B,-60, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-08 21:52:30,1900-01-00 00:00:00,,96:3F:9D:F6:36:18,-85,,0.000000,0.000000,0.000,0.000,Client
2023-08-08 21:52:30,1900-01-00 00:00:00,,96:3F:9D:F6:36:18,-85,,0.000000,0.000000,0.000,0.000,Client
2023-08-08 21:52:31,1900-01-00 00:00:00,,96:3F:9D:F6:36:18,-85,,0.000000,0.000000,0.000,0.000,Client
2023-08-08 21:52:31,1900-01-00 00:00:00,FTTH-585B,A8:E2:07:5F:58:5B,-60, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-08 21:52:31,1900-01-00 00:00:00,FTTH-585B,A8:E2:07:5F:58:5B,-60, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-08 21:52:31,1900-01-00 00:00:00,,B8:3D:4E:BE:45:F4,-84,,0.000000,0.000000,0.000,0.000,Client
2023-08-08 21:52:31,1900-01-00 00:00:00,FTTH-585B,A8:E2:07:5F:58:5B,-60, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-08 21:52:31,1900-01-00 00:00:00,FTTH-585B,A8:E2:07:5F:58:5B,-60, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-08 21:52:31,1900-01-00 00:00:00,FTTH-585B,A8:E2:07:5F:58:5B,-60, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-08 21:52:31,1900-01-00 00:00:00,FTTH-585B,A8:E2:07:5F:58:5B,-60, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-08 21:52:31,1900-01-00 00:00:00,FTTH-585B,A8:E2:07:5F:58:5B,-60, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-08 21:52:31,1900-01-00 00:00:00,FTTH-585B,A8:E2:07:5F:58:5B,-60, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-08 21:52:31,1900-01-00 00:00:00,FTTH-585B,A8:E2:07:5F:58:5B,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-08 21:52:31,1900-01-00 00:00:00,FTTH-585B,A8:E2:07:5F:58:5B,-60, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-08 21:52:32,1900-01-00 00:00:00,FTTH-585B,A8:E2:07:5F:58:5B,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-08 21:52:32,1900-01-00 00:00:00,,96:3F:9D:F6:36:18,-80,,0.000000,0.000000,0.000,0.000,Client
2023-08-08 21:52:32,1900-01-00 00:00:00,FTTH-585B,A8:E2:07:5F:58:5B,-60, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-08 21:52:32,1900-01-00 00:00:00,FTTH-585B,A8:E2:07:5F:58:5B,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-08 21:52:32,1900-01-00 00:00:00,FTTH-585B,A8:E2:07:5F:58:5B,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-08 21:52:32,1900-01-00 00:00:00,FTTH-585B,A8:E2:07:5F:58:5B,-60, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-08 21:52:32,1900-01-00 00:00:00,FTTH-585B,A8:E2:07:5F:58:5B,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-08 21:52:32,1900-01-00 00:00:00,FTTH-585B,A8:E2:07:5F:58:5B,-60, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-08 21:52:32,1900-01-00 00:00:00,FTTH-585B,A8:E2:07:5F:58:5B,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-08 21:52:32,1900-01-00 00:00:00,FTTH-585B,A8:E2:07:5F:58:5B,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-08 21:52:32,1900-01-00 00:00:00,FTTH-585B,A8:E2:07:5F:58:5B,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-08 21:52:33,1900-01-00 00:00:00,FTTH-585B,A8:E2:07:5F:58:5B,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-08 21:52:33,1900-01-00 00:00:00,FTTH-585B,A8:E2:07:5F:58:5B,-60, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-08 21:52:33,1900-01-00 00:00:00,,96:3F:9D:F6:36:18,-82,,0.000000,0.000000,0.000,0.000,Client
2023-08-08 21:52:33,1900-01-00 00:00:00,FTTH-585B,A8:E2:07:5F:58:5B,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-08 21:52:33,1900-01-00 00:00:00,FTTH-585B,A8:E2:07:5F:58:5B,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-08 21:52:33,1900-01-00 00:00:00,FTTH-585B,A8:E2:07:5F:58:5B,-60, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-08 21:52:33,1900-01-00 00:00:00,FTTH-585B,A8:E2:07:5F:58:5B,-60, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-08 21:52:33,1900-01-00 00:00:00,FTTH-585B,A8:E2:07:5F:58:5B,-60, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-08 21:52:33,1900-01-00 00:00:00,FTTH-585B,A8:E2:07:5F:58:5B,-60, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-08 21:52:33,1900-01-00 00:00:00,FTTH-585B,A8:E2:07:5F:58:5B,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-08 21:52:33,1900-01-00 00:00:00,FTTH-585B,A8:E2:07:5F:58:5B,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-08 21:52:33,1900-01-00 00:00:00,FTTH-585B,A8:E2:07:5F:58:5B,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-08 21:52:33,1900-01-00 00:00:00,FTTH-585B,A8:E2:07:5F:58:5B,-60, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-08 21:52:33,1900-01-00 00:00:00,FTTH-585B,A8:E2:07:5F:58:5B,-60, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-08 21:52:34,1900-01-00 00:00:00,FTTH-585B,A8:E2:07:5F:58:5B,-60, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-08 21:52:34,1900-01-00 00:00:00,,96:3F:9D:F6:36:18,-82,,0.000000,0.000000,0.000,0.000,Client
2023-08-08 21:52:34,1900-01-00 00:00:00,FTTH-585B,A8:E2:07:5F:58:5B,-60, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-08 21:52:34,1900-01-00 00:00:00,FTTH-585B,A8:E2:07:5F:58:5B,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-08 21:52:34,1900-01-00 00:00:00,FTTH-585B,A8:E2:07:5F:58:5B,-60, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-08 21:52:34,1900-01-00 00:00:00,FTTH-585B,A8:E2:07:5F:58:5B,-60, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-08 21:52:34,1900-01-00 00:00:00,FTTH-585B,A8:E2:07:5F:58:5B,-60, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-08 21:52:34,1900-01-00 00:00:00,FTTH-585B,A8:E2:07:5F:58:5B,-60, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-08 21:52:34,1900-01-00 00:00:00,,96:3F:9D:F6:36:18,-80,,0.000000,0.000000,0.000,0.000,Client
